id,timestamp,frequency_hz,rssi_dbm,source_file
27,2025-04-22 12:22:58.133574,5500000000.0,-53.12,6
1,2025-04-22 12:24:03.975273,5500000000.0,-59.68,7
2,2025-04-22 12:24:08.467278,5500000000.0,-64.95,7
3,2025-04-22 12:24:12.857765,5500000000.0,-59.54,7
4,2025-04-22 12:24:17.493077,5500000000.0,-60.01,7
5,2025-04-22 12:24:21.893155,5500000000.0,-58.84,7
6,2025-04-22 12:24:26.300995,5500000000.0,-63.77,7
7,2025-04-22 12:24:30.682383,5500000000.0,-69.07,7
8,2025-04-22 12:24:34.982458,5500000000.0,-62.68,7
9,2025-04-22 12:24:39.407476,5500000000.0,-57.71,7
10,2025-04-22 12:24:43.667650,5500000000.0,-61.32,7
11,2025-04-22 12:24:48.128125,5500000000.0,-60.62,7
12,2025-04-22 12:24:52.530522,5500000000.0,-60.44,7
13,2025-04-22 12:24:56.846245,5500000000.0,-61.45,7
14,2025-04-22 12:25:01.208335,5500000000.0,-61.26,7
15,2025-04-22 12:25:05.583267,5500000000.0,-58.23,7
16,2025-04-22 12:25:09.992653,5500000000.0,-69.61,7
17,2025-04-22 12:25:14.289078,5500000000.0,-49.35,7
18,2025-04-22 12:25:18.555161,5500000000.0,-50.98,7
19,2025-04-22 12:25:22.979785,5500000000.0,-66.7,7
20,2025-04-22 12:25:27.320618,5500000000.0,-63.97,7
21,2025-04-22 12:25:31.620120,5500000000.0,-62.54,7
22,2025-04-22 12:25:35.952795,5500000000.0,-67.75,7
23,2025-04-22 12:25:40.334771,5500000000.0,-60.58,7
24,2025-04-22 12:25:44.685491,5500000000.0,-61.06,7
25,2025-04-22 12:25:48.967756,5500000000.0,-57.41,7
26,2025-04-22 12:25:53.301411,5500000000.0,-52.3,7
27,2025-04-22 12:25:57.618859,5500000000.0,-57.03,7
1,2025-04-22 12:26:45.868364,5500000000.0,-65.81,8
2,2025-04-22 12:26:50.153317,5500000000.0,-55.45,8
3,2025-04-22 12:26:54.533319,5500000000.0,-66.46,8
4,2025-04-22 12:26:58.871341,5500000000.0,-67.02,8
5,2025-04-22 12:27:03.176077,5500000000.0,-55.74,8
6,2025-04-22 12:27:07.489563,5500000000.0,-52.55,8
7,2025-04-22 12:27:11.913813,5500000000.0,-62.69,8
8,2025-04-22 12:27:16.280386,5500000000.0,-60.61,8
9,2025-04-22 12:27:20.730577,5500000000.0,-58.91,8
10,2025-04-22 12:27:25.242243,5500000000.0,-63.62,8
11,2025-04-22 12:27:29.548779,5500000000.0,-61.32,8
12,2025-04-22 12:27:33.924223,5500000000.0,-59.95,8
13,2025-04-22 12:27:38.298792,5500000000.0,-58.57,8
14,2025-04-22 12:27:42.601084,5500000000.0,-58.49,8
15,2025-04-22 12:27:46.928630,5500000000.0,-60.11,8
16,2025-04-22 12:27:51.584284,5500000000.0,-65.36,8
17,2025-04-22 12:27:55.890800,5500000000.0,-53.92,8
18,2025-04-22 12:28:00.182144,5500000000.0,-58.53,8
19,2025-04-22 12:28:04.495897,5500000000.0,-65.69,8
20,2025-04-22 12:28:08.856385,5500000000.0,-62.15,8
21,2025-04-22 12:28:13.163207,5500000000.0,-64.56,8
22,2025-04-22 12:28:17.442130,5500000000.0,-70.39,8
23,2025-04-22 12:28:21.830742,5500000000.0,-62.42,8
24,2025-04-22 12:28:26.211530,5500000000.0,-75.24,8
25,2025-04-22 12:28:30.669369,5500000000.0,-62.33,8
26,2025-04-22 12:28:35.078521,5500000000.0,-56.14,8
27,2025-04-22 12:28:39.384107,5500000000.0,-61.83,8
1,2025-04-22 12:32:02.338303,5500000000.0,-61.97,9
2,2025-04-22 12:32:06.667065,5500000000.0,-60.4,9
3,2025-04-22 12:32:11.012409,5500000000.0,-62.16,9
4,2025-04-22 12:32:15.302287,5500000000.0,-63.39,9
5,2025-04-22 12:32:19.692228,5500000000.0,-50.09,9
6,2025-04-22 12:32:23.981114,5500000000.0,-50.28,9
7,2025-04-22 12:32:28.381776,5500000000.0,-64.98,9
8,2025-04-22 12:32:32.710494,5500000000.0,-67.51,9
9,2025-04-22 12:32:37.095626,5500000000.0,-62.99,9
10,2025-04-22 12:32:41.412778,5500000000.0,-62.55,9
11,2025-04-22 12:32:45.804348,5500000000.0,-66.17,9
12,2025-04-22 12:32:50.114833,5500000000.0,-64.59,9
13,2025-04-22 12:32:54.446640,5500000000.0,-63.18,9
14,2025-04-22 12:32:58.759145,5500000000.0,-63.44,9
15,2025-04-22 12:33:03.120234,5500000000.0,-70.77,9
16,2025-04-22 12:33:07.467795,5500000000.0,-86.14,9
17,2025-04-22 12:33:11.918714,5500000000.0,-62.25,9
18,2025-04-22 12:33:16.517184,5500000000.0,-64.57,9
19,2025-04-22 12:33:21.067310,5500000000.0,-74.06,9
20,2025-04-22 12:33:25.447576,5500000000.0,-71.6,9
21,2025-04-22 12:33:29.817285,5500000000.0,-66.34,9
22,2025-04-22 12:33:34.200899,5500000000.0,-65.89,9
23,2025-04-22 12:33:38.777553,5500000000.0,-61.04,9
24,2025-04-22 12:33:43.161095,5500000000.0,-59.29,9
25,2025-04-22 12:33:47.520025,5500000000.0,-67.03,9
26,2025-04-22 12:33:51.826866,5500000000.0,-67.81,9
27,2025-04-22 12:33:56.129651,5500000000.0,-61.08,9
1,2025-04-22 12:34:42.399059,5500000000.0,-53.48,10
2,2025-04-22 12:34:46.698585,5500000000.0,-52.04,10
3,2025-04-22 12:34:51.096293,5500000000.0,-53.5,10
4,2025-04-22 12:34:55.409783,5500000000.0,-53.68,10
5,2025-04-22 12:34:59.756945,5500000000.0,-52.38,10
