M,N,R,Phi
-5,-8,1.7204141943148459,0.5100885381307843
-5,-7,1.7302673203872283,0.5201761826573134
-5,-6,1.740294515304809,0.5301485867483032
-5,-5,1.7504927877600638,0.5400057643693723
-5,-4,1.7608591652940333,0.5497478187240935
-5,-3,1.7713906965997084,0.5593749380215096
-5,-2,1.7820844536665483,0.5688873912695446
-5,-1,1.7929375337696514,0.5782855241083433
-5,0,1.8039470613075097,0.5875697546962381
-5,1,1.8151101894926378,0.5967405696597542
-5,2,1.8264241018996654,0.6057985201178232
-5,3,1.8378860138757245,0.6147442177891573
-5,4,1.849493173818168,0.623578331190601
-5,5,1.8612428643248038,0.6323015819331786
-5,6,1.87313240322194,0.6409147411215257
-5,7,1.8851591444756064,0.6494186258614202
-4,-8,1.719972092796857,0.5102323513256172
-4,-7,1.7298277370882915,0.5203217474194554
-4,-6,1.7398574654264065,0.530295824818092
-4,-5,1.7500582847436823,0.540154598843249
-4,-4,1.76042722087566,0.5498981741120863
-4,-3,1.7709613208650266,0.5595267402978531
-4,-2,1.7816576551066143,0.5690405679167093
-4,-1,1.7925133193368465,0.5784400041547604
-4,0,1.803525436471579,0.5877254687480206
-4,1,1.8146911582966396,0.5968974499267191
-4,2,1.826007667015667,0.6059565004341195
-4,3,1.8374721766600983,0.6149032336288143
-4,4,1.8490819343663492,0.6237383196783027
-4,5,1.8608342215253888,0.6324624818505739
-4,6,1.8727263548100133,0.6410764929093713
-4,7,1.884755687085199,0.6495811716178607
-3,-8,1.719628157480564,0.5103442907452871
-3,-7,1.7294857617222523,0.5204350496127061
-3,-6,1.7395174618266986,0.5304104288565185
-3,-5,1.7497202633564028,0.5402704448553937
-3,-4,1.7600911908193848,0.5500152033281617
-3,-3,1.7706272899738102,0.5596448950891106
-3,-2,1.7813256299733635,0.5691597918296767
-3,-1,1.7921833053569045,0.5785602419405687
-3,0,1.8031974378863784,0.5878466663870554
-3,1,1.814365178237281,0.5970195546488319
-3,2,1.825683707546299,0.606079460734641
-3,3,1.8371502388209844,0.6150269992806093
-3,4,1.8487620182165145,0.6238628417401104
-3,5,1.8605163261847504,0.632587712671869
-3,6,1.8724104785009081,0.6412023861319863
-3,7,1.8844418271732348,0.649707682174595
-2,-8,1.7193824472757653,0.5104242929058591
-2,-7,1.729241452198044,0.5205160254204904
